Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
KAPLM,1998,0,0,164,1920000000000,236,0.9177951596616554,247,-0.17176540724956813,53,paper products,FALSE,9,1,1,TRUE,0,0,0,0,NA,FALSE
KARTN,1998,0,1,328,27843750000000,234,1.2023454037706618,247,-0.16795108608322828,53,paper products,TRUE,9,3,0,TRUE,1,1075075.676069999,450000,1,NA,TRUE
KAVOR,1998,0,1,4,33462000000000,236,1.9232820309954517,247,-0.4255399474329867,65,tahta urunleri kibrit kalem,TRUE,3,0,1,FALSE,0,0,0,1,NA,FALSE
KCHOL,1998,0,1,164,865379700000000,236,1.9871037751220224,247,-0.6713350526600842,8,Holdingler ve yatirim sirketleri,FALSE,16,4,0,TRUE,0,0,0,1,NA,FALSE
KENT,1998,0,0,974,28620000000000,236,1.6584134895203868,247,-0.5574724285414864,54,pastry food and biscuits etc,FALSE,3,0,1,FALSE,0,0,0,0,NA,FALSE
KEPEZ,1998,0,1,154,672e14,232,0.5963005194102013,247,-0.5055016766769391,27,elektrik gaz su,FALSE,2,0,1,FALSE,3,23057198.402547248,10641293,1,NA,TRUE
KERVT,1998,0,0,937,96408000000000,236,0.7209267446670211,247,-0.18967555304231887,51,"other products, superfreshlike",FALSE,5,0,1,FALSE,7,5910042.529017153,2793093,0,NA,TRUE
KIPA,1998,0,1,704,8524315800000,236,1.3032788714080659,247,0.6417627969878115,55,perakendeciler,FALSE,5,0,1,FALSE,3,18095039.02353284,112371566669,1,NA,TRUE
KLBMO,1998,0,0,461,7200000000000,236,1.1823778249921568,247,-0.4657421064853623,48,mobilya matress tahta,FALSE,4,1,0,TRUE,0,0,0,0,NA,FALSE
KLMSN,1998,0,0,310,4062500000000,236,1.3585934860596556,247,0.5743667060032388,3,Beyazesya,FALSE,7,1,0,TRUE,2,4671171.4014784545,1230509,0,NA,TRUE
