Firm,Year,Employment
ASLAN,2002,253
ASUZU,2002,500
ATAYO,2002,2
ATEKS,2002,1688
ATSYO,2002,3
AYCES,2002,186
AYEN,2002,66
AYGAZ,2002,993
BAGFS,2002,350
BAKAB,2002,274
BANVT,2002,1825
BEKO,2002,3343
BERDN,2002,922
BFREN,2002,177
BJKAS,2002,43
BOLUC,2002,277
BOSSA,2002,2158
BRISA,2002,1163
BRMEN,2002,1697
BROVA,2002,63
BRSAN,2002,887
BRYAT,2002,12
BSOKE,2002,262
BSPRO,2002,2161
BTCIM,2002,356
BUCIM,2002,280
BUMYO,2002,5
BURCE,2002,267
BYSAN,2002,
CARSI,2002,1711
CBSBO,2002,129
CELHA,2002,231
CEMTS,2002,257
CEYLN,2002,172
CIMSA,2002,461
CLEBI,2002,851
CMBTN,2002,183
CMENT,2002,370
CMLOJ,2002,61
COMUN,2002,145
CUKEL,2002,102
CYTAS,2002,354
DARDL,2002,645
DENCM,2002,828
DENTA,2002,356
DERIM,2002,53
DEVA,2002,959
DISBA,2002,2730
DITAS,2002,288
DMSAS,2002,573
DNZYO,2002,3
DOBUR,2002,335
DOGUB,2002,62
DOHOL,2002,105
DOKTS,2002,1390
DUROF,2002,132
DYHOL,2002,48
DYOBY,2002,952
ECBYO,2002,1
ECILC,2002,878
ECYAP,2002,1712
ECZYT,2002,4
EDIP,2002,1134
EFES,2002,22
EGEEN,2002,186
EGFIN,2002,22
EGGUB,2002,166
EGHOL,2002,6
EGIYM,2002,20
EGPRO,2002,190
EGSER,2002,967
EMKEL,2002,148
EMNIS,2002,112
ENKAI,2002,519
EPLAS,2002,371
ERBOS,2002,354
EREGL,2002,6616
ERSU,2002,105
ESEMS,2002,289
FACFA,2002,5
FENIS,2002,352
FFKRL,2002,55
FINBN,2002,2811
FMIZP,2002,297
FNSYO,2002,2
FRIGO,2002,739
FROTO,2002,4411
FVORI,2002,250
GARAN,2002,7398
GARFA,2002,28
GDKYO,2002,3
GEDIZ,2002,352
GENTS,2002,282
GIMA,2002,2752
GLMDE,2002,397
GOLDS,2002,243
GOLTS,2002,425
GOODY,2002,1495
GRNYO,2002,3
GSDHO,2002,26
GSRAY,2002,5
GUBRF,2002,422
GUSGR,2002,334
HEKTS,2002,205
HURGZ,2002,215
HZNDR,2002,50
I,2002,2973
IDAS,2002,482
IHEVA,2002,273
IHLAS,2002,753
IKTFN,2002,9
INTEM,2002,210
IPMAT,2002,355
ISAMB,2002,181
ISCTR,2002,14873
ISGEN,2002,39
ISYAT,2002,4
IZMDC,2002,519
IZOCM,2002,330
KAPLM,2002,102
KARSN,2002,564
KARTN,2002,318
KAVPA,2002,5
KCHOL,2002,168
KENT,2002,1054
KEPEZ,2002,30
KERVT,2002,551
KIPA,2002,1432
KLBMO,2002,318
KLMSN,2002,380
KNFRT,2002,121
KONYA,2002,136
KORDS,2002,831
KOTKS,2002,665
KOZAD,2002,39
KRDMD,2002,3776
KRSTL,2002,120
KRTEK,2002,886
LINK,2002,102
