,Firm,Year,Name
316,ARFYO,1998,ALTERNATİF YATIRIM ORTAKLIĞI A.Ş.
317,CEMTS,1998,ÇEMTAŞ ÇELİK MAKİNE SANAYİ VE TİCARET A.Ş.
318,SKTAS,1998,SÖKTAŞ PAMUK VE TARIM ÜRÜNLERİ DEĞERLENDİRME TİCARET VE SANAYİ A.Ş.
319,netas,1998,NETAŞ NORTHERN ELECTRIC TELEKOMÜNİKASYON A.Ş
320,TÜRK,1998,"
TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş."
321,YKFIN,1998,YAPI KREDİ FİNANSAL KİRALAMA ANONİM ORTAKLIĞI
322,NTHOL,1998,NET HOLDİNG ANONİM ŞİRKETİ
323,CMBTN,1998,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SAN.TİC.A.Ş.
324,TSKB,1998,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
325,GRNYO,1998,GARANTİ YATIRIM ORTAKLIĞI A.Ş.
326,GOLTS,1998,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
327,BYRBY,1998,BAYRAKLI BOYA VE VERNİK SANAYİ AŞ.
328,SIFAS,1998,SİFAŞ SENTETİK İPLİK FABRİKALARI
329,KEPEZ,1998,KEPEZ  ELEKTRİK  T.A.Ş.
330,VESTL,1998,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
331,UCAK,1998,USAŞ   UÇAK SERVİSİ A.Ş.
332,EGEEN,1998,EGE ENDÜSTRİ VE TİCARET A.Ş.
333,TOPFN,1998,TOPRAK FİNANSAL KİRALAMA A.Ş.
